Primary Key,Participant ID,Treatment Group,Timestamp,Question Label,Before/After Exposure,Error present,Text Explanation ,Actual Chart Error,Error Identified (Coder 1),Error Identified (Coder 2),Coder Mismatch?,Consensus Code
448,1299,Text,,PQ 8 Zero,Prior,,It's well constructed,Zero Axis,0,0,,0
454,1858,Text,,PQ 8 Zero,Prior,,It's well constructed,Zero Axis,0,0,,0
458,2260,Text,,PQ 8 Zero,Prior,,It's well constructed,Zero Axis,0,0,,0
463,1335,Text,,PQ 8 Zero,Prior,,There are errors in construction,Zero Axis,0,0,,0
469,2479,Text,,PQ 8 Zero,Prior,The null column of the Major Genre should be capitalised. ,There are errors in construction,Zero Axis,0,0,,0
472,3139,Text,,PQ 8 Zero,Prior,The axis should be switched ,It's well constructed,Zero Axis,0,0,,0
478,2784,Text,,PQ 8 Zero,Prior,,It's well constructed,Zero Axis,0,0,,0
483,1164,Text,,PQ 8 Zero,Prior,,It's well constructed,Zero Axis,0,0,,0
496,Duration (in seconds),Text,,PQ 8 Zero,Prior,PQ 5 Good Text,PQ  6 Rate,Zero Axis,0,0,,0
501,3372,Text,,PQ 9 Zero,Prior,the monthly income data does not relate to the bonus axis,It's well constructed,Zero Axis,0,0,,0
506,1107,Text,,PQ 9 Zero,Prior,,It's well constructed,Zero Axis,0,0,,0
510,1299,Text,,PQ 9 Zero,Prior,,There are errors in construction,Zero Axis,0,0,,0
516,1858,Text,,PQ 9 Zero,Prior,,There are errors in construction,Zero Axis,0,0,,0
520,2260,Text,,PQ 9 Zero,Prior,,It's well constructed,Zero Axis,0,0,,0
525,1335,Text,,PQ 9 Zero,Prior,It can't be true,It's well constructed,Zero Axis,0,0,,0
531,2479,Text,,PQ 9 Zero,Prior,The left and right axis readings contradict each other. ,There are errors in construction,Zero Axis,0,0,,0
534,3139,Text,,PQ 9 Zero,Prior,,It's well constructed,Zero Axis,0,0,,0
540,2784,Text,,PQ 9 Zero,Prior,,There are errors in construction,Zero Axis,0,0,,0
545,1164,Text,,PQ 9 Zero,Prior,,There are errors in construction,Zero Axis,0,0,,0
558,Duration (in seconds),Text,,PQ 9 Zero,Prior,PQ 6 Rate Text,PQ 7 Zero,Zero Axis,0,0,,0
563,3372,Text,,PQ 10 Legend,Prior,,It's well constructed,Legend,1,1,,1
568,1107,Text,,PQ 10 Legend,Prior,,It's well constructed,Legend,1,1,,1
572,1299,Text,,PQ 10 Legend,Prior,Scale should have been adapted to fit the data.,It's well constructed,Legend,0,0,,0
578,1858,Text,,PQ 10 Legend,Prior,We only see a section of the graph,It's well constructed,Legend,0,0,,0
582,2260,Text,,PQ 10 Legend,Prior,,It's well constructed,Legend,0,0,,0
587,1335,Text,,PQ 10 Legend,Prior,,It's well constructed,Legend,1,1,,1
593,2479,Text,,PQ 10 Legend,Prior,Products sold could have started at 200 to make the graph smaller.,It's well constructed,Legend,1,1,,1
596,3139,Text,,PQ 10 Legend,Prior,,It's well constructed,Legend,1,1,,1
602,2784,Text,,PQ 10 Legend,Prior,This graph needs a title and better labelling of each axis.,There are errors in construction,Legend,P,P,,P
607,1164,Text,,PQ 10 Legend,Prior,Too much white space.,There are errors in construction,Legend,0,0,,0
620,Duration (in seconds),Text,,PQ 10 Legend,Prior,PQ 7 Zero Text,PQ 8 Zero,Legend,1,1,,1
625,3372,Text,,PQ 11 Legend,Prior,,There are errors in construction,Legend,1,P,X,1
630,1107,Text,,PQ 11 Legend,Prior,,There are errors in construction,Legend,1,1,,1
634,1299,Text,,PQ 11 Legend,Prior,,It's well constructed,Legend,1,1,,1
640,1858,Text,,PQ 11 Legend,Prior,,There are errors in construction,Legend,0,0,,0
644,2260,Text,,PQ 11 Legend,Prior,,There are errors in construction,Legend,0,0,,0
649,1335,Text,,PQ 11 Legend,Prior,,There are errors in construction,Legend,1,1,,1
655,2479,Text,,PQ 11 Legend,Prior,,There are errors in construction,Legend,1,1,,1
658,3139,Text,,PQ 11 Legend,Prior,,There are errors in construction,Legend,0,0,,0
664,2784,Text,,PQ 11 Legend,Prior,The Y-axis does not have labelled units.,There are errors in construction,Legend,0,0,,0
669,1164,Text,,PQ 11 Legend,Prior,It would be better to add more months to the x-axis.,There are errors in construction,Legend,0,0,,0
682,Duration (in seconds),Text,,PQ 11 Legend,Prior,PQ 8 Zero Text,PQ 9 Zero,Legend,1,1,,1
687,3372,Text,,PQ 12 Legend,Prior,"there is too much data to be able to see the individual results where it is all bunched up, it needs to be more spread out",It's poorly constructed,Legend,0,0,,0
692,1107,Text,,PQ 12 Legend,Prior,too crowded can't distinguish data,It's poorly constructed,Legend,0,0,,0
696,1299,Text,,PQ 12 Legend,Prior,,It's poorly constructed,Legend,0,0,,0
702,1858,Text,,PQ 12 Legend,Prior,I have no idea what it is trying to show,It's poorly constructed,Legend,0,0,,0
706,2260,Text,,PQ 12 Legend,Prior,markings all same colour and very unclear,It's well constructed,Legend,0,0,,0
711,1335,Text,,PQ 12 Legend,Prior,"Full of nonsense graphics, difficult to understand",It's poorly constructed,Legend,0,0,,0
717,2479,Text,,PQ 12 Legend,Prior,It's impossible to read individual results as they are all overwritten especially in the bottom right corner. ,It's poorly constructed,Legend,0,0,,0
720,3139,Text,,PQ 12 Legend,Prior,it's messy ,It's poorly constructed,Legend,P,0,X,P
726,2784,Text,,PQ 12 Legend,Prior,The x-axis is missing labelled units.,It's poorly constructed,Legend,0,0,,0
731,1164,Text,,PQ 12 Legend,Prior,I can't understand the intent of the graph as there is no clear relationship.,It's poorly constructed,Legend,0,0,,0
744,Duration (in seconds),Text,,PQ 12 Legend,Prior,PQ 9 Zero Text,PQ 10 Legend,Legend,0,0,,0
749,3372,Text,,PQ 13 Size,Prior,there is no key,There are errors in construction,Neg Size,0,0,,0
754,1107,Text,,PQ 13 Size,Prior,not sure what the data is,It's well constructed,Neg Size,0,P,X,0
758,1299,Text,,PQ 13 Size,Prior,No colour-codes for the data points.,There are errors in construction,Neg Size,0,0,,0
764,1858,Text,,PQ 13 Size,Prior,It has no key,There are errors in construction,Neg Size,0,0,,0
768,2260,Text,,PQ 13 Size,Prior,,It's well constructed,Neg Size,0,0,,0
773,1335,Text,,PQ 13 Size,Prior,"Confusing, lack of details",It's well constructed,Neg Size,0,0,,0
779,2479,Text,,PQ 13 Size,Prior,No key,There are errors in construction,Neg Size,0,0,,0
782,3139,Text,,PQ 13 Size,Prior,it's terrible and lacks information,It's well constructed,Neg Size,0,0,,0
788,2784,Text,,PQ 13 Size,Prior,This graph needs a key to establish what each colour means.,There are errors in construction,Neg Size,0,0,,0
793,1164,Text,,PQ 13 Size,Prior,Time scale is poor and the number of supposed bonds or financial products is too overwhelming.,There are errors in construction,Neg Size,0,0,,0
806,Duration (in seconds),Text,,PQ 13 Size,Prior,PQ 10 Legend,PQ 11 Legend,Neg Size,0,0,,0
811,3372,Text,,PQ 14 Size,Prior,there is no key,There are errors in construction,Neg Size,0,0,,0
816,1107,Text,,PQ 14 Size,Prior,,It's well constructed,Neg Size,0,0,,0
820,1299,Text,,PQ 14 Size,Prior,Lines are not colour-coded.,There are errors in construction,Neg Size,0,0,,0
826,1858,Text,,PQ 14 Size,Prior,It is missing a key; we don't know which line correlates to which color,There are errors in construction,Neg Size,0,0,,0
830,2260,Text,,PQ 14 Size,Prior,,It's well constructed,Neg Size,0,0,,0
835,1335,Text,,PQ 14 Size,Prior,,It's well constructed,Neg Size,0,0,,0
841,2479,Text,,PQ 14 Size,Prior,It's impossible to read the lower readings and there is no country key. ,It's well constructed,Neg Size,0,0,,0
844,3139,Text,,PQ 14 Size,Prior,,It's well constructed,Neg Size,0,0,,0
850,2784,Text,,PQ 14 Size,Prior,"This graph is well-made, but lacks a key for the different colours.",There are errors in construction,Neg Size,0,0,,0
855,1164,Text,,PQ 14 Size,Prior,There is no key.,It's well constructed,Neg Size,0,0,,0
868,Duration (in seconds),Text,,PQ 14 Size,Prior,PQ 11 Legend Text,PQ 12 Legend,Neg Size,0,0,,0
873,3372,Text,,PQ 15 Size,Prior,different colours should be used for each item,There are errors in construction,Neg Size,0,0,,0
878,1107,Text,,PQ 15 Size,Prior,,There are errors in construction,Neg Size,0,0,,0
882,1299,Text,,PQ 15 Size,Prior,The colours should be different for each group. ,There are errors in construction,Neg Size,0,0,,0
888,1858,Text,,PQ 15 Size,Prior,Multiple bars are the same color,There are errors in construction,Neg Size,0,0,,0
892,2260,Text,,PQ 15 Size,Prior,,There are errors in construction,Neg Size,0,0,,0
897,1335,Text,,PQ 15 Size,Prior,,There are errors in construction,Neg Size,0,0,,0
903,2479,Text,,PQ 15 Size,Prior,,There are errors in construction,Neg Size,0,0,,0
906,3139,Text,,PQ 15 Size,Prior,,There are errors in construction,Neg Size,0,0,,0
912,2784,Text,,PQ 15 Size,Prior,"The x-axis needs a label, and the graph needs a title.",There are errors in construction,Neg Size,0,0,,0
917,1164,Text,,PQ 15 Size,Prior,,There are errors in construction,Neg Size,0,0,,0
930,Duration (in seconds),Text,,PQ 15 Size,Prior,PQ 12 Legend Text,PQ 13 Size,Neg Size,0,0,,0
935,3372,Text,,PQ 16 Color,Prior,"the data in 2012 only shows half a circle, which could make it hard to depict whch size circle it is",It's well constructed,Color,1,1,,1
940,1107,Text,,PQ 16 Color,Prior,can't see all the data,It's well constructed,Color,0,0,,0
944,1299,Text,,PQ 16 Color,Prior,"The 'temp_min' could potentially be a different shape, so it doesn't overlap with 'weather'",It's well constructed,Color,0,0,,0
950,1858,Text,,PQ 16 Color,Prior,It goes to -10 even though you cant have negative precipitation.,It's well constructed,Color,0,0,,0
954,2260,Text,,PQ 16 Color,Prior,using the same shape is confusing to read data,It's well constructed,Color,0,0,,0
959,1335,Text,,PQ 16 Color,Prior,You can not understand it,There are errors in construction,Color,0,0,,0
965,2479,Text,,PQ 16 Color,Prior,The graph is hard to read with multiple readings occurring at the same time. ,It's well constructed,Color,1,1,,1
968,3139,Text,,PQ 16 Color,Prior,It's hard to follow,There are errors in construction,Color,1,1,,1
974,2784,Text,,PQ 16 Color,Prior,"The graph is missing units on the x-axis, as well as a title. ",It's well constructed,Color,0,0,,0
979,1164,Text,,PQ 16 Color,Prior,The graph is trying to tell too much information at once. ,There are errors in construction,Color,0,0,,0
992,Duration (in seconds),Text,,PQ 16 Color,Prior,PQ 13 Size,PQ 14 Size,Color,1,1,,1
997,3372,Text,,PQ 17 Color,Prior,,It's well constructed,Color,0,0,,0
1002,1107,Text,,PQ 17 Color,Prior,,There are errors in construction,Color,0,0,,0
1006,1299,Text,,PQ 17 Color,Prior,,There are errors in construction,Color,0,0,,0
1012,1858,Text,,PQ 17 Color,Prior,,It's well constructed,Color,0,0,,0
1016,2260,Text,,PQ 17 Color,Prior,,It's well constructed,Color,0,0,,0
1021,1335,Text,,PQ 17 Color,Prior,Confusing,There are errors in construction,Color,0,0,,0
1027,2479,Text,,PQ 17 Color,Prior,,There are errors in construction,Color,0,0,,0
1030,3139,Text,,PQ 17 Color,Prior,I don't understand it,There are errors in construction,Color,0,0,,0
1036,2784,Text,,PQ 17 Color,Prior,,It's well constructed,Color,0,0,,0
1041,1164,Text,,PQ 17 Color,Prior,These relative sizes are not obvious enough.,There are errors in construction,Color,0,0,,0
1054,Duration (in seconds),Text,,PQ 17 Color,Prior,PQ 14 Size Text,PQ 15 Size,Color,1,0,X,1
1059,3372,Text,,PQ 18 Color,Prior,,There are errors in construction,Color,0,0,,0
1064,1107,Text,,PQ 18 Color,Prior,too crowded,There are errors in construction,Color,0,0,,0
1068,1299,Text,,PQ 18 Color,Prior,"There are confusing axis titles, very similar ways of identifying the both the variables on the side column,and the '_'s in the titles could be removed. ",There are errors in construction,Color,1,1,,1
1074,1858,Text,,PQ 18 Color,Prior,,There are errors in construction,Color,0,0,,0
1078,2260,Text,,PQ 18 Color,Prior,,There are errors in construction,Color,0,0,,0
1083,1335,Text,,PQ 18 Color,Prior,Lack of details,It's well constructed,Color,1,1,,1
1089,2479,Text,,PQ 18 Color,Prior,Impossible to read individual results. Overlap too much. ,It's well constructed,Color,0,0,,0
1092,3139,Text,,PQ 18 Color,Prior,It's not the best type of graph to dislay the information,There are errors in construction,Color,1,1,,1
1098,2784,Text,,PQ 18 Color,Prior,,There are errors in construction,Color,0,0,,0
1103,1164,Text,,PQ 18 Color,Prior,everything is bunched up on the left and there is significant white space. ,There are errors in construction,Color,0,0,,0
1116,Duration (in seconds),Text,,PQ 18 Color,Prior,PQ 15 Size Text,PQ 16 Color,Color,0,0,,0
1121,3372,Text,,TQ 1 Zero,Post,Like,Like,Zero Axis,0,0,,0
1126,1107,Text,,TQ 1 Zero,Post,,,Zero Axis,1,1,,1
1130,1299,Text,,TQ 1 Zero,Post,,,Zero Axis,0,1,X,P
