Foreign Key,Actual Chart Error,Response,Error Identified (Coder 1),TODO,544,LEFT OFF,15,FLAG
168,Good,"Full of nonsense graphics, difficult to understand",0,,,,,
169,Good,It's impossible to read individual results as they are all overwritten especially in the bottom right corner. ,,,,,,
170,Good,it's messy ,0,,,,,
171,Good,The x-axis is missing labelled units.,0,,,,,
172,Good,I can't understand the intent of the graph as there is no clear relationship.,0,,,,,
173,Good,PQ 9 Zero Text,0,,,,,
174,Good,there is no key,,,,,,
175,Good,not sure what the data is,0,,,,,
176,Good,No colour-codes for the data points.,0,,,,,
177,Good,It has no key,,,,,,
178,Good,,1,,,,,
179,Good,"Confusing, lack of details",0,,,,,
180,Good,No key,0,,,,,
181,Good,it's terrible and lacks information,0,,,,,
182,Good,This graph needs a key to establish what each colour means.,0,,,,,
183,Good,Time scale is poor and the number of supposed bonds or financial products is too overwhelming.,0,,,,,
184,Good,PQ 10 Legend,0,,,,,
185,Good,there is no key,,,,,,
186,Good,,1,,,,,
187,Good,Lines are not colour-coded.,,,,,,
188,Good,It is missing a key; we don't know which line correlates to which color,0,,,,,
189,Good,,1,,,,,
190,Good,,1,,,,,
191,Good,It's impossible to read the lower readings and there is no country key. ,,,,,,
192,Good,,1,,,,,
193,Good,"This graph is well-made, but lacks a key for the different colours.",0,,,,,
194,Good,There is no key.,,,,,,
195,Good,PQ 11 Legend Text,,,,,,
196,Good,different colours should be used for each item,,,,,,
197,Good,,1,,,,,
198,Good,The colours should be different for each group. ,,,,,,
199,Good,Multiple bars are the same color,,,,,,
200,Good,,0,,,,,
201,Good,,1,,,,,
202,Good,,1,,,,,
203,Good,,1,,,,,
204,Good,"The x-axis needs a label, and the graph needs a title.",0,,,,,
205,Good,,1,,,,,
206,Good,PQ 12 Legend Text,,,,,,
207,Good,"the data in 2012 only shows half a circle, which could make it hard to depict whch size circle it is",,,,,,
208,Good,can't see all the data,,,,,,
209,Good,"The 'temp_min' could potentially be a different shape, so it doesn't overlap with 'weather'",0,,,,,
210,Good,It goes to -10 even though you cant have negative precipitation.,,,,,,
211,Good,using the same shape is confusing to read data,0,,,,,
212,Good,You can not understand it,0,,,,,
213,Good,The graph is hard to read with multiple readings occurring at the same time. ,,,,,,
214,Good,It's hard to follow,,,,,,
215,Good,"The graph is missing units on the x-axis, as well as a title. ",,,,,,
216,Good,The graph is trying to tell too much information at once. ,0,,,,,
217,Good,PQ 13 Size,0,,,,,
218,Good,,1,,,,,
219,Good,,1,,,,,
220,Good,,1,,,,,
221,Good,,1,,,,,
222,Good,,1,,,,,
223,Good,Confusing,,,,,,
224,Good,,0,,,,,
225,Good,I don't understand it,,,,,,
226,Good,,1,,,,,
227,Good,These relative sizes are not obvious enough.,,,,,,
228,Good,PQ 14 Size Text,,,,,,
229,Good,,1,,,,,
230,Good,too crowded,,,,,,
231,Good,"There are confusing axis titles, very similar ways of identifying the both the variables on the side column,and the '_'s in the titles could be removed. ",,,,,,
232,Good,,1,,,,,
233,Good,,1,,,,,
234,Good,Lack of details,,,,,,
235,Good,Impossible to read individual results. Overlap too much. ,,,,,,
236,Good,It's not the best type of graph to dislay the information,,,,,,
237,Good,,1,,,,,
238,Good,everything is bunched up on the left and there is significant white space. ,0,,,,,
239,Good,PQ 15 Size Text,,,,,,
240,Good,the colours of the lines are too similar,,,,,,
241,Good,some colours are too similar so they're too difficult to distinguish,0,,,,,
242,Good,The colours are too similar to distinguish the 'series'.,0,,,,,
243,Good,Information and agriculture are the same color,,,,,,
244,Good,The depicting colours are to similar which makes it confusing to read,,,,,,
245,Good,,1,,,,,
246,Good,,1,,,,,
247,Good,it's too compact,,,,,,
248,Good,"The graph is missing units on the x-axis, as well as a proper title.",,,,,,
249,Good,Information and agriculture are the same color.,,,,,,
250,Good,PQ 16 Color Text,,,,,,
251,Good,you cannot see the individual data as it is overlapping,,,,,,
252,Good,dots are difficult to see and understand,,,,,,
253,Good,Colours are a little too similar.,,,,,,
254,Good,AIP and LIB appear to be the same or similar color,,,,,,
255,Good,confusing and hard to read due to poor choice of markers,,,,,,
256,Good,It is confusing,,,,,,
257,Good,,1,,,,,
258,Good,Merged clusters making information unclear,,,,,,
259,Good,,1,,,,,
260,Good,It is rather confusing to see a negative cash balance.,,,,,,
261,Good,PQ 17 Color Text,,,,,,
262,Good,,0,,,,,
263,Good,too much data,,,,,,
264,Good,,1,,,,,
265,Good,Crookston and Waseca are the same color,,,,,,
266,Good,,1,,,,,
267,Good,,1,,,,,
268,Good,Crookston and Waseca should be represented by a different colour to each other. ,,,,,,
269,Good,The vertical axis should display the site instead of the crop,,,,,,
270,Good,,1,,,,,
271,Good,Green is used twice and looks to be very similar shades.,,,,,,
272,Good,PQ 18 Color Text,,,,,,
273,Good,,0,,,,,
274,Good,,1,,,,,
275,Good,,1,,,,,
276,Good,Where are the other two lines?,,,,,,
277,Good,,0,,,,,
278,Good,,1,,,,,
279,Good,Only one result ,,,,,,
280,Good,The y axis doesn't start at 0,,,,,,
281,Good,"The key indicates multiple data colours, but there is only one (blue) depicted.",,,,,,
282,Good,Lacks other values that are in the legend.,,,,,,
283,Good,TQ 1 Zero Text,,,,,,
284,Good,the data is too clumped,,,,,,
285,Good,too crowded,,,,,,
286,Good,,1,,,,,
287,Good,,0,,,,,
288,Good,very hard to read data as it is all similar colours,0,,,,,
289,Good,,1,,,,,
290,Good,Difficult to read ,,,,,,
291,Good,It's a mess and confusing,0,,,,,
292,Good,,1,,,,,
293,Good,,1,,,,,
294,Good,TQ 2 Good Text,,,,,,
295,Good,there is no legend and the axis are not labelled properly,,,,,,
296,Good,,1,,,,,
297,Good,,1,,,,,
298,Good,I don't know what it's measuring ,,,,,,
299,Good,,1,,,,,
300,Good,"No legend, no info",0,,,,,
301,Good,,1,,,,,
302,Good,,1,,,,,
303,Good,"The x and y-axis do not have appropriate labels, so there is no way to decipher what the presented data actually means.",,,,,,
304,Good,,0,,,,,
305,Good,TQ 3 Good Text,0,,,,,
306,Good,there is no legend,,,,,,
307,Good,,1,,,,,
308,Good,No legend relative to the colours used.,,,,,,
309,Good,It's missing a legend,0,,,,,
310,Good,,1,,,,,
311,Rate,,0,,,,,
312,Rate,No key ,0,,,,,
313,Rate,It's confusing what do the colours represent?,,,,,,
314,Rate,There is no key indicating what the colours in the data set represent.,0,,,,,
315,Rate,No legend.,,,,,,
316,Rate,TQ 4 legend Text,,,,,,
317,Rate,the colours are too similar,P,,,,,
318,Rate,too much data,,,,,,
319,Rate,Colours are too similar,,,,,,
320,Rate,Europe and USA are the same color,0,,,,,
322,Rate,Colors are too similar,,,,,,
323,Rate,Difficult to read ,0,,,,,
324,Rate,The colours are too similar for Europe and USA,,,,,,
325,Rate,"The colours used for Europe and USA are too similar, and the colour choices would be difficult to detect for someone with R/G colour blindness.",,,,,,
326,Rate,Colors are too similar,,,,,,
327,Rate,"Where to start? Just do the thing all over again, right this time. Grade F",,,,,,
328,Rate,Distributors too detailed,,,,,,
329,Rate,difficlt to see different data,,,,,,
330,Rate,"You cannot read the information because of the lines, they are the messy",0,,,,,
331,Rate,,0,,,,,
332,Rate,Poor assembled legend and incorrect usage of lines in graph.,,,,,,
333,Rate,legend & axis,P,,,,,
334,Rate,Small scale causing confusion to read the graph.,,,,,,
335,Rate,increase scale on y axis,,,,,,
336,Rate,It's difficult to visualise each line separately. ,0,,,,,
337,Rate,,0,,,,,
338,Rate,Negative numbers,,,,,,
339,Rate,legend too similar in colour,0,,,,,
340,Rate,,0,,,,,
341,Rate,,0,,,,,
342,Rate,There are negative unit on the length and the sizes are too similar with each other,,,,,,
343,Rate,Different colours and shapes are not ideal.,,,,,,
344,Rate,axis,,,,,,
345,Rate,,P,,,,,
346,Rate,,0,,,,,
347,Rate,,0,,,,,
348,Rate,,0,,,,,
349,Rate,,0,,,,,
350,Rate,,0,,,,,
351,Rate,,0,,,,,
352,Rate,The scale seems disproportionate,,,,,,
353,Rate,It is difficult to tell the dots apart,0,,,,,
355,Rate,"Lack of info, colors are too similar",P,,,,,
356,Rate,Difficult to read ,,,,,,
357,Rate,axis doesn't start at zeros and colours are the same so it's difficult to read,,,,,,
358,Rate,The scattering of the data does not seem to align with the income increments on the X-axis.,,,,,,
359,Rate,White space,,,,,,
360,Rate,TQ 8 Zero Axis,,,,,,
361,Rate,there are negative values for the data,,,,,,
362,Rate,,0,,,,,
363,Rate,"Due to having the same shapes, overlaps become hard to read.",,,,,,
364,Rate,-1 is smaller than -2 and -3 but -3 is the smallest number,0,,,,,
365,Rate,very confusing regarding what data is recorded and why,,,,,,
366,Rate,No info,,,,,,
367,Rate,,0,,,,,
368,Rate,The length isn't on the graph,,,,,,
369,Rate,,0,,,,,
370,Rate,Too much white space.,,,,,,
371,Rate,TQ 9 Size Text,,,,,,
372,Rate,there is no legend,,,,,,
373,Zero Axis,,0,,,,,
374,Zero Axis,There is no legend for the meaning of the colours.,0,,,,,
375,Zero Axis,There is no legend,,,,,,
376,Zero Axis,,0,,,,,
377,Zero Axis,,0,,,,,
378,Zero Axis,No key for colours ,0,,,,,
379,Zero Axis,Why the change in colour,1,,,,,
380,Zero Axis,There is no key indicating the meaning of each colour in the data.,0,,,,,
381,Zero Axis,No legend,0,,,,,
382,Zero Axis,TQ 10 Legend Text,1,,,,,
383,Zero Axis,the scales on the axis are different,0,,,,,
384,Zero Axis,,1,,,,,
385,Zero Axis,,0,,,,,
386,Zero Axis,There shouldn't be measurements on both sides ,1,,,,,
387,Zero Axis,,0,,,,,
388,Zero Axis,,0,,,,,
389,Zero Axis,The y axis' have different values ,,,,,,
390,Zero Axis,axis dont start at 0,0,,,,,
391,Zero Axis,You cannot use two separate units on the Y-axis that correspond with one X-axis.,1,,,,,
392,Zero Axis,,0,,,,,
393,Zero Axis,TQ 11 Good,0,,,,,
394,Zero Axis,the scales on the axis do not match up,1,,,,,
395,Zero Axis,,0,,,,,
396,Zero Axis,Colour of lines doesn't match the legend,,,,,,
397,Zero Axis,,1,,,,,
398,Zero Axis,,0,,,,,
399,Zero Axis,,0,,,,,
400,Zero Axis,,P,,,,,
401,Zero Axis,The axis dont start at 0,0,,,,,
402,Zero Axis,,P,,,,,
403,Zero Axis,,0,,,,,
404,Zero Axis,TQ 12 Rate Text,P,,,,,
405,Zero Axis,,0,,,,,
406,Zero Axis,,0,,,,,
407,Zero Axis,,0,,,,,
408,Zero Axis,It is missing a legend,,,,,,
409,Zero Axis,,0,,,,,
410,Zero Axis,"No info, no legend, incomplete",0,,,,,
411,Zero Axis,,0,,,,,
412,Zero Axis,axis doesn't start at 0,0,,,,,
413,Zero Axis,No labelling of the graph's title.,P,,,,,
414,Zero Axis,,0,,,,,
415,Zero Axis,TQ 13 Zero Text,,,,,,
416,Zero Axis,there is no legend,,,,,,
417,Zero Axis,,0,,,,,
418,Zero Axis,There is no legend.,0,,,,,
419,Zero Axis,No legend,0,,,,,
420,Zero Axis,,0,,,,,
421,Zero Axis,Colors are the same,,,,,,
422,Zero Axis,The colours are too similar. ,,,,,,
423,Zero Axis,,0,,,,,
424,Zero Axis,,0,,,,,
425,Zero Axis,No legend.,1,,,,,
426,Zero Axis,TQ 14 Legend Text,,,,,,
427,Zero Axis,the colours are too similar,0,,,,,
428,Zero Axis,,0,,,,,
429,Zero Axis,The colours are too simialr.,,,,,,
430,Zero Axis,Amsterdam and Atlanta are the same color,P,,,,,
431,Zero Axis,,0,,,,,
432,Zero Axis,,0,,,,,
433,Zero Axis,Colours too similar ,0,,,,,
434,Zero Axis,,1,,,,,
435,Zero Axis,,0,,,,,
436,Zero Axis,Colors are too similar,P,,,,,
437,Zero Axis,TQ 15 color Text,,,,,,
438,Zero Axis,there is a negative value for the legend,0,,,,,
439,Zero Axis,,0,,,,,
440,Zero Axis,Shapes are the same so overlaps are difficult to read,0,,,,,
441,Zero Axis,It's hard to read,0,,,,,
442,Zero Axis,,0,,,,,
443,Zero Axis,No legend,0,,,,,
444,Zero Axis,The months are not in order ,,,,,,
445,Zero Axis,The temperature is hard to see on the graph,,,,,,
446,Zero Axis,,0,,,,,
447,Zero Axis,,0,,,,,
448,Zero Axis,TQ 16 Size Text,0,,,,,
449,Zero Axis,the scales on the axis are different,,,,,,
450,Zero Axis,,0,,,,,
451,Zero Axis,,0,,,,,
452,Zero Axis,There is no legend,0,,,,,
453,Zero Axis,,0,,,,,
454,Zero Axis,Lack of info,,,,,,
455,Zero Axis,The y axis' have different values ,0,,,,,
456,Zero Axis,,0,,,,,
457,Zero Axis,,0,,,,,
458,Zero Axis,,0,,,,,
459,Zero Axis,TQ 17 Rate Text,0,,,,,
460,Zero Axis,the axis have different scales,1,,,,,
461,Zero Axis,,0,,,,,
462,Zero Axis,,0,,,,,
463,Zero Axis,There shouldn't be scales on both sides,,,,,,
464,Zero Axis,,1,,,,,
465,Zero Axis,,0,,,,,
466,Zero Axis,The y axis' have different values ,0,,,,,
467,Zero Axis,,0,,,,,
468,Zero Axis,,0,,,,,
469,Zero Axis,,0,,,,,
470,Zero Axis,TQ 18 Rate Text,,,,,,
471,Zero Axis,,0,,,,,
472,Zero Axis,,0,,,,,
473,Zero Axis,,0,,,,,
474,Zero Axis,,0,,,,,
475,Zero Axis,,0,,,,,
476,Zero Axis,,0,,,,,
477,Zero Axis,,0,,,,,
478,Zero Axis,,0,,,,,
479,Zero Axis,,0,,,,,
480,Zero Axis,,0,,,,,
481,Zero Axis,,0,,,,,
482,Zero Axis,"No definition of ""Data""",,,,,,
483,Zero Axis,There are too many marks on the graph compared to the key,,,,,,
484,Zero Axis,The x axis has an underscore between the words,,,,,,
485,Zero Axis,,0,,,,,
486,Zero Axis,poorly explain title and legend,0,,,,,
487,Zero Axis,,0,,,,,
488,Zero Axis,"No definitions of any axis, nor the ""legend"": is this for human or virus/bacteria?",,,,,,
489,Zero Axis,,0,,,,,
490,Zero Axis,"underscore again between the text, and also the graph looks like some sections are larger than others, it isn't proportionate ",0,,,,,
491,Zero Axis,,0,,,,,
492,Zero Axis,,0,,,,,
493,Zero Axis,,0,,,,,
494,Zero Axis,Define Mean of temp_range ,,,,,,
495,Zero Axis,,0,,,,,
496,Zero Axis,,0,,,,,
497,Zero Axis,,0,,,,,
498,Zero Axis,,0,,,,,
499,Zero Axis,,0,,,,,
500,Zero Axis,"Definition of ""Records"" is absent.",0,,,,,
501,Zero Axis,,0,,,,,
502,Zero Axis,,0,,,,,
503,Zero Axis,,0,,,,,
504,Zero Axis,,0,,,,,
505,Zero Axis,,0,,,,,
506,Zero Axis,,0,,,,,
507,Zero Axis,There is no key,,,,,,
508,Zero Axis,It could use some small lines to specify other numbers ie. 150 inbetween the 100 and 200 to make it easier to read,0,,,,,
509,Zero Axis,it does not need to start at 0,,,,,,
510,Zero Axis,bad choice of axis ranges,,,,,,
511,Zero Axis,The graph starts to early and is pointless before it gets past 200 (250),0,,,,,
512,Zero Axis,Time of sales should be on one axis,0,,,,,
513,Zero Axis,This is the incorrect type of graph for the information,,,,,,
514,Zero Axis,"the dates at the bottom could be presented better, ie 01/00, 01/04 to look less cluttered and fit all the choices across",0,,,,,
515,Zero Axis,,0,,,,,
516,Zero Axis,,0,,,,,
517,Zero Axis,year and month are labeled the wrong way round.,0,,,,,
518,Zero Axis,Define series and count of what?,0,,,,,
519,Zero Axis,It is really confusing to read and there is no key,,,,,,
520,Zero Axis,The Release_Date has the _ inbetween however the other axis does not,,,,,,
521,Zero Axis,not clear,,,,,,
522,Zero Axis,data points could be smaller to clearly show individual points,,,,,,
523,Zero Axis,the circles become very unclear once they are very close together.,0,,,,,
524,Zero Axis,"Release of what, and rating delta undefined",0,,,,,
525,Zero Axis,There is no key ,0,,,,,
526,Zero Axis,"it is hard to see what number the lines actually fall on as the gaps are so large, it is quite confusing",0,,,,,
527,Zero Axis,,0,,,,,
528,Zero Axis,lack of legend as wellas lack of title and units on axis,0,,,,,
529,Zero Axis,there is no keywords and the angel of the grpah makes it hard to understand.,0,,,,,
530,Zero Axis,Median yield of what?,,,,,,
531,Zero Axis,There is no key describing what each line represents,0,,,,,
532,Zero Axis,It is missing the text on the Y axis for 'total flu cases',,,,,,
533,Zero Axis,,0,,,,,
534,Zero Axis,missing axis title and missing legend to describe different plots,0,,,,,
535,Zero Axis,"The lines are too busy at the bottom of the graph, makes it hard to understand.",1,,,,,
536,Zero Axis,No line identification legend,0,,,,,
537,Zero Axis,,0,,,,,
538,Zero Axis,It does not have any text on the X axis and no title on the graph,0,,,,,
539,Zero Axis,,0,,,,,
541,Zero Axis,"The oranges section is miscolored, it should be green",0,,,,,
542,Zero Axis,"As designed it is just inventory data, that is all.",0,,,,,
543,Zero Axis,This is a really confusing graph and not easy to read,,,,,,
544,Zero Axis,,0,,,,,
545,Zero Axis,,0,,,,,
546,Zero Axis,axis ranges are off and poorly presented ,0,,,,,
547,Zero Axis,The circles get cut off at the edges of the graph.,0,,,,,
548,Zero Axis,"The axis identifications are not valid, and the data points are useless.",0,,,,,
549,Zero Axis,It is difficult to see which rate of change measurements each ball is referring to,,,,,,
550,Zero Axis,,0,,,,,
551,Zero Axis,,0,,,,,
552,Zero Axis,,0,,,,,
553,Zero Axis,,0,,,,,
554,Zero Axis,Design should be a line graph for usable detail,0,,,,,
555,Zero Axis,The circle shapes are difficult to interpret ,0,,,,,
556,Zero Axis,,0,,,,,
557,Zero Axis,,0,,,,,
558,Zero Axis,data series of party affiliation doesn't make sense on chart,0,,,,,
559,Legend,,0,,,,,
560,Legend,"Ending cash is not defined, party affiliation is impossible to read, and beginning cash is not defined at all.",0,,,,,
561,Legend,I think this is the incorrect type of graph for the information,0,,,,,
562,Legend,,0,,,,,
563,Legend,,1,,,,,
564,Legend,,0,,,,,
565,Legend,"should be more space for the correct alignment of the year 2000, plus agriculture and information are too a similar color and is confusing to read.",,,,,,
566,Legend,"Series are not defined, graph colors are impossible to distinguish on Government and Information.",1,,,,,
567,Legend,,0,,,,,
568,Legend,,1,,,,,
569,Legend,,0,,,,,
570,Legend,,1,,,,,
571,Legend,"the left hand side of the graph is very busy and unreadable, ",1,,,,,
572,Legend,"Again, no real definitions: disbursements to who/what?",,,,,,
573,Legend,Quinoa is spelt incorrectly on the Y axis ,0,,,,,
574,Legend,The text on the X axis are totally different from the Y,,,,,,
575,Legend,,1,,,,,
576,Legend,,0,,,,,
577,Legend,,1,,,,,
578,Legend,,0,,,,,
579,Legend,,1,,,,,
580,Legend,,0,,,,,
581,Legend,,0,,,,,
582,Legend,y axis doesn't start at 0 and lines in legend don't appear on the graph,0,,,,,
583,Legend,The line ends before the graph does and looks unprofessional,1,,,,,
584,Legend,"No legend, graph not complete",,,,,,
585,Legend,You can't distinguish how many separate marks there are on the graph and orange and red are too similar,0,,,,,
586,Legend,,0,,,,,
587,Legend,messy,1,,,,,
588,Legend,,1,,,,,
589,Legend,Too messy to read this clearly.,0,,,,,
590,Legend,Colors too similar,1,,,,,
591,Legend,There is no key,1,,,,,
592,Legend,the axis are not labelled,1,,,,,
593,Legend,,1,,,,,
594,Legend,unclear what graph represents as poorly labelled axis ,,,,,,
595,Legend,Very limited information but looks clear enough,,,,,,
596,Legend,There are no legends,1,,,,,
597,Legend,There is no graph,,,,,,
598,Legend,No legend on the graph to tell me what the colours stand for,1,,,,,
599,Legend,,0,,,,,
600,Legend,no legend ,1,,,,,
601,Legend,,1,,,,,
602,Legend,no color legend,P,,,,,
603,Legend,Circles are a terrible choice as you can't distinguish between Europe and USA,0,,,,,
604,Legend,,0,,,,,
605,Legend,unclear,1,,,,,
606,Legend,colours in legend are too similar ,,,,,,
607,Legend,two of the keys are too close in color.,,,,,,
608,Legend,colors too similar,1,,,,,
609,Legend,,0,,,,,
610,Legend,Too many 'contributers'. ,1,,,,,
611,Legend,design choice doesn't make sense,P,,,,,
612,Legend,very messy hard to read,0,,,,,
613,Legend,Too many subjects,1,,,,,
614,Legend,,0,,,,,
615,Legend,,0,,,,,
616,Legend,Boxes for data points overlap being it difficult to read. ,0,,,,,
617,Legend,the legend doesn't make sense,0,,,,,
618,Legend,The legend goes negative and not in order of number,0,,,,,
619,Legend,Poor representation that has mixed up formats of graph,1,,,,,
620,Legend,,1,,,,,
621,Legend,It is difficult to interpret the size of the circles,,,,,,
622,Legend,The graph is very varied in the size of the colums ,0,,,,,
623,Legend,unclear,,,,,,
624,Legend,Scale makes results unclear,1,,,,,
625,Legend,Some of the dots are too small to see clearly,1,,,,,
626,Legend,"Populations < 200,000,000 represented by too small dots. ",1,,,,,
627,Legend,,0,,,,,
628,Legend,,1,,,,,
629,Legend,,1,,,,,
630,Legend,Negative values of length don't make sense ,1,,,,,
631,Legend,negative values in the graph,1,,,,,
632,Legend,There are no legends with definitions. ,1,,,,,
633,Legend,There is no key,1,,,,,
634,Legend,There is no legend on here to say what the colours on the graph mean,1,,,,,
635,Legend,,0,,,,,
